,Barri,Area,Habitacions,Lavabos,Preu,Immobiliaria,ConsumoEtiqueta,ConsumokW,EmisionesEtiqueta,Emisioneskg,Data anunci,Aire_acondicionat,Moblat,Any_construccio,Calefaccio,Transport_public_proper,Llar_de_foc,Obra_nova,Piscina_propia,Plaza_parking,Ascensor,Equipamient_esportiu,Jardi_comunitari,Piscina_comunitaria,Vigilancia,Districte
1,Esquerra Baixa de l´Eixample,101,3,2,410000.0,FINQUES GIRAMON,G,999.0,G,999.0,07/04/2022,1,0,1936,0,0,0,0,0,0,1,0,0,0,0,Eixample
4,Putget - Farró,114,3,2,550000.0,Prontopiso,E,999.0,E,999.0,21/03/2022,1,0,1979,1,0,0,0,0,0,1,0,0,0,0,Sarria Sant Gervasi
6,Esquerra Alta de l´Eixample,122,3,2,650000.0,Singular Properties,E,145.0,E,30.0,21/03/2022,0,0,1947,1,0,0,0,0,0,1,0,0,0,0,Eixample
8,Hostafrancs,63,2,1,289000.0,Housfy Real Estate,E,169.0,E,35.0,09/04/2022,1,1,2002,1,1,0,0,0,0,1,0,0,0,0,Sants Montjuic
9,Esquerra Alta de l´Eixample,94,3,2,370000.0,Housfy Real Estate,G,263.0,F,55.0,09/04/2022,0,0,1966,1,0,0,0,0,0,1,0,0,0,0,Eixample
10,Sant Gervasi - Galvany,124,4,2,570000.0,Singular Properties,G,999.0,G,999.0,17/03/2022,1,0,1969,1,0,0,0,0,0,1,0,0,0,0,Sarria Sant Gervasi
11,Esquerra Baixa de l´Eixample,85,3,2,389000.0,GARLASA TRADE,G,999.0,G,999.0,08/04/2022,1,0,1972,1,0,0,0,0,0,1,0,0,0,0,Eixample
12,Sarrià,65,3,1,455000.0,Singular Properties,G,248.0,E,45.0,31/03/2022,1,0,1996,1,0,0,0,0,0,1,0,0,0,0,Sarria Sant Gervasi
13,Sant Gervasi - Galvany,105,3,2,430000.0,Prontopiso,E,999.0,E,999.0,17/03/2022,1,0,1968,1,0,0,0,0,0,1,0,0,0,0,Sarria Sant Gervasi
16,Esquerra Baixa de l´Eixample,85,2,1,420000.0,APROPERTIES REAL ESTATE BARCELONA Nº Aicat 6388,E,100.0,E,10.0,01/04/2022,1,1,1920,1,0,0,0,0,0,1,0,0,0,0,Eixample
17,Dreta de l´Eixample,108,2,2,920000.0,APROPERTIES REAL ESTATE BARCELONA Nº Aicat 6388,E,126.0,E,24.0,01/04/2022,1,0,1900,1,0,0,0,0,0,1,0,0,0,0,Eixample
18,Fort Pienc,71,2,1,279000.0,FINCAS GP,E,1.0,E,1.0,08/04/2022,0,0,1975,0,0,0,0,0,0,1,0,0,0,0,Eixample
19,Fort Pienc,81,4,2,420000.0,APROPERTIES REAL ESTATE BARCELONA Nº Aicat 6388,E,176.0,E,34.0,01/04/2022,0,0,1957,0,0,0,0,0,0,1,0,0,0,0,Eixample
23,Esquerra Alta de l´Eixample,153,4,3,795000.0,APROPERTIES REAL ESTATE BARCELONA Nº Aicat 6388,G,999.0,G,999.0,28/03/2022,1,1,1994,1,0,0,0,0,1,1,0,0,0,0,Eixample
25,Esquerra Alta de l´Eixample,81,2,1,350000.0,FINQUES BUSINFREU,D,999.0,E,999.0,05/04/2022,0,0,1969,1,0,0,0,0,0,1,0,0,0,0,Eixample
28,Esquerra Baixa de l´Eixample,104,4,1,299000.0,FINCAS GP,E,999.0,E,999.0,07/04/2022,0,0,1942,1,0,0,0,0,0,1,0,0,0,0,Eixample
30,Esquerra Baixa de l´Eixample,170,5,3,699000.0,FINCAS GP,G,999.0,G,999.0,04/04/2022,0,0,1970,1,0,0,0,0,1,1,0,0,0,0,Eixample
31,Fort Pienc,90,3,1,399000.0,FINCAS GP,G,999.0,G,999.0,26/03/2022,1,0,1972,1,0,0,0,0,0,1,0,0,0,0,Eixample
32,Esquerra Alta de l´Eixample,68,1,1,435000.0,CHRYSOL VALUE REAL ESTATE,E,195.0,E,48.0,02/04/2022,1,0,1979,1,0,0,0,0,0,1,0,0,0,0,Eixample
35,Sagrada Família,113,3,2,515000.0,APROPERTIES REAL ESTATE BARCELONA Nº Aicat 6388,G,999.0,G,999.0,05/04/2022,1,0,1999,1,0,0,0,0,0,1,0,0,0,0,Eixample
37,Sant Martí,104,3,2,325000.0,TANDEM IMMOBILIARIA,E,115.0,E,28.0,08/04/2022,1,0,1965,1,0,0,0,0,0,1,0,0,0,0,Sant Marti
40,Sant Martí,60,2,1,225000.0,Propietaris.cat,D,141.0,D,28.0,03/04/2022,0,1,1970,0,0,0,0,0,0,1,0,0,0,0,Sant Marti
43,Camp d´en Grassot - Gràcia N.,127,4,2,499000.0,hooli HOME,C,999.0,C,10.0,31/03/2022,1,0,2005,1,0,0,0,0,0,1,0,0,0,0,Gracia
47,Sant Gervasi - Galvany,280,5,3,1390000.0,Duran Carasso Barcelona Gestion Inmobiliaria,G,999.0,G,999.0,04/04/2022,0,0,1963,1,0,0,0,0,0,1,0,0,0,0,Sarria Sant Gervasi
53,Sant Gervasi - Galvany,132,3,2,799000.0,APROPERTIES REAL ESTATE BARCELONA Nº Aicat 6388,E,132.0,E,27.0,06/04/2022,1,0,1959,1,0,0,0,0,0,1,0,0,0,0,Sarria Sant Gervasi
54,Putget - Farró,181,4,2,850000.0,INFORYATRICA,G,999.0,G,999.0,28/03/2022,1,0,1959,0,0,0,0,0,0,1,0,0,0,0,Sarria Sant Gervasi
56,Font d´en Fargas,61,2,1,415000.0,Gestió i Garantia,G,999.0,G,999.0,08/04/2022,0,0,2021,0,1,0,0,0,0,1,0,0,0,0,Horta Guinardo
57,Sant Ramon - Maternitat,146,4,3,760000.0,PEDROOCHOA,E,185.0,E,39.0,01/04/2022,1,0,1969,1,0,0,0,0,0,1,0,0,0,0,Les Corts
58,St. Pere - Sta. Caterina - El Born,256,4,3,990000.0,CAMBRA DE LA PROPIETAT DE BARCELONA,E,153.0,E,32.0,23/03/2022,1,0,1928,1,0,0,0,0,0,1,0,0,0,0,Ciutat Vella
60,Camp de l´Arpa,84,2,1,288000.0,Guinot Prunera Barcelona,G,229.0,G,59.0,02/03/2022,0,0,1960,0,0,0,0,0,0,1,0,0,0,0,Sant Marti
65,Fort Pienc,106,4,2,490000.0,hooli HOME,G,999.0,G,999.0,14/03/2022,1,0,1975,1,0,0,0,0,0,1,0,0,0,0,Eixample
66,Baix Guinardó,104,3,1,360000.0,Sarria Properties Sl,E,121.0,E,30.0,06/04/2022,0,0,1951,0,0,0,0,0,0,1,0,0,0,0,Horta Guinardo
67,Esquerra Alta de l´Eixample,171,3,3,720000.0,DUX GRUPO INMOBILAIRIO,G,999.0,G,999.0,21/03/2022,1,0,1972,1,0,0,0,0,0,1,0,0,0,0,Eixample
69,Camp de l´Arpa,113,4,2,400000.0,HiHOMiE,D,999.0,D,999.0,07/03/2022,1,0,1983,0,0,0,0,0,0,1,0,0,0,0,Sant Marti
70,Prosperitat,82,2,1,250000.0,Prontopiso,C,999.0,C,999.0,07/04/2022,0,0,1971,1,0,0,0,0,0,0,0,0,0,0,Nou Barris
74,Sant Gervasi - Galvany,167,5,3,850000.0,DUX GRUPO INMOBILAIRIO,G,999.0,G,999.0,17/02/2022,1,0,1940,1,0,0,0,0,0,1,0,0,0,0,Sarria Sant Gervasi
76,Esquerra Baixa de l´Eixample,141,4,2,695000.0,FINQUES MUR,G,287.0,G,60.0,06/04/2022,1,0,1962,1,0,0,0,0,0,1,0,0,0,0,Eixample
78,Navas,50,3,1,220000.0,LA CASA GRUP,F,999.0,F,999.0,06/04/2022,1,0,1930,0,0,0,0,0,0,1,0,0,0,0,Sant Andreu
81,La Bordeta,80,3,1,270000.0,FINCAS GP,E,178.0,E,37.0,05/04/2022,1,0,1993,1,0,0,0,0,0,1,0,0,0,0,Sants Montjuic
86,Sant Martí,79,1,1,210000.0,LA CASA GRUP,F,999.0,F,999.0,06/04/2022,1,0,2009,1,0,0,0,0,0,1,0,0,1,0,Sant Marti
87,Fort Pienc,81,5,1,350000.0,HOMIM,E,119.0,E,30.0,06/04/2022,0,0,1910,0,0,0,0,0,0,1,0,0,0,0,Eixample
88,La Verneda - La Pau,64,3,1,125000.0,LA CASA GRUP,F,999.0,F,999.0,24/03/2022,0,0,1966,0,0,0,0,0,0,1,0,0,0,0,Sant Marti
90,Poble Sec,84,3,2,259000.0,FINCAS GP,E,167.0,E,34.0,22/03/2022,1,1,1973,1,0,0,0,0,0,1,0,0,0,0,Sants Montjuic
91,Vallcarca - Penitents,117,3,2,639000.0,HOMIM,E,211.0,E,41.0,06/04/2022,1,0,1966,1,0,0,0,0,1,1,0,0,0,0,Gracia
92,Provençals del Poblenou,76,4,1,220000.0,GAND HOUSE,G,999.0,G,999.0,29/03/2022,0,0,1961,1,0,0,0,0,0,1,0,0,0,0,Sant Marti
93,Les Corts,73,3,1,346000.0,Atico/Noramarti,E,115.0,E,24.0,08/03/2022,0,0,1967,0,0,0,0,0,0,1,0,0,0,0,Les Corts
94,Les Corts,106,4,2,470000.0,FINCAS GP,E,147.0,E,31.0,04/04/2022,1,0,1980,1,0,0,0,0,0,1,0,0,0,0,Les Corts
98,Porta,81,2,2,270000.0,hooli HOME,E,142.0,E,35.0,02/03/2022,1,0,2015,0,0,0,0,0,0,1,0,0,0,0,Nou Barris
100,Poble Sec,52,3,1,194500.0,FINCAS GP,G,244.0,F,50.0,25/03/2022,1,1,1970,0,0,0,0,0,0,1,0,0,0,0,Sants Montjuic
101,Vallvidrera - Tibidabo - Les Planes,114,4,2,655000.0,COLDWELL BANKER PREMIUM SANT CUGAT,E,97.0,D,20.0,06/04/2022,0,0,1976,1,0,0,0,0,1,1,0,0,0,0,Sarria Sant Gervasi
102,Esquerra Baixa de l´Eixample,141,4,2,695000.0,HOMIM,E,287.0,E,60.0,06/04/2022,1,0,1962,1,0,0,0,0,0,1,0,0,0,0,Eixample
103,La Guineueta,104,4,1,225000.0,COLDWELL BANKER PREMIUM SANT CUGAT,G,999.0,G,999.0,05/04/2022,0,0,1962,1,0,0,0,0,0,1,0,0,0,0,Nou Barris
104,La Sagrera,74,3,1,225000.0,DUX GRUPO INMOBILAIRIO,E,208.0,E,43.0,07/04/2022,1,0,1971,1,0,0,0,0,0,1,0,0,0,0,Sant Andreu
106,Guinardó,200,4,3,635000.0,CUGATCASAS,G,999.0,G,999.0,06/04/2022,1,0,2021,1,0,0,0,0,0,1,0,0,0,0,Horta Guinardo
107,Camp d´en Grassot - Gràcia N.,185,3,3,899000.0,FINCAS GP,E,207.0,E,43.0,06/04/2022,1,0,1963,1,0,0,0,0,0,1,0,0,0,0,Gracia
108,Baix Guinardó,77,3,1,355000.0,COLDWELL BANKER PREMIUM SANT CUGAT,G,999.0,G,999.0,17/03/2022,0,0,1964,1,0,0,0,0,0,1,0,0,0,0,Horta Guinardo
109,Sants,83,4,1,265000.0,FINCAS GP,G,10.0,G,10.0,23/03/2022,0,0,1965,1,0,0,0,0,0,1,0,0,0,0,Sants Montjuic
110,Sant Ramon - Maternitat,133,4,3,760000.0,APROPERTIES REAL ESTATE BARCELONA Nº Aicat 6388,E,100.0,E,10.0,06/04/2022,1,0,1969,1,0,0,0,0,0,1,0,0,0,0,Les Corts
112,Les Corts,52,2,1,215000.0,FINCAS GP,E,179.0,F,46.0,25/02/2022,0,0,1935,0,0,0,0,0,0,1,0,0,0,0,Les Corts
114,Sant Antoni,80,3,2,410000.0,CLIKALIA,E,340.0,E,45.0,21/03/2022,1,0,1979,1,0,0,0,0,0,1,0,0,0,0,Eixample
115,Camp d´en Grassot - Gràcia N.,72,4,1,290000.0,PRINCIPAL PRIMERA,G,999.0,G,999.0,31/03/2022,0,0,1970,0,0,0,0,0,0,1,0,0,0,0,Gracia
117,Sant Ramon - Maternitat,89,5,2,319000.0,CAMBRA DE LA PROPIETAT DE BARCELONA,G,999.0,G,999.0,30/03/2022,0,0,1953,0,0,0,0,0,0,1,0,0,0,0,Les Corts
118,Esquerra Alta de l´Eixample,70,1,1,260000.0,ENGEL & VOELKERS,E,130.0,E,32.0,22/03/2022,1,1,1995,1,0,0,0,0,0,1,0,0,0,0,Eixample
120,Sant Antoni,76,3,1,315000.0,CIDEB,E,199.0,E,37.0,10/03/2022,0,0,1950,0,0,0,0,0,0,1,0,0,0,0,Eixample
121,Raval,88,3,1,230000.0,Guinot Prunera Barcelona,G,999.0,G,999.0,28/03/2022,0,0,1991,1,0,0,0,0,0,1,0,0,0,0,Ciutat Vella
123,Congrés - Indians,100,3,2,347000.0,HIPERFINCAS,F,187.0,F,45.0,08/03/2022,1,0,1963,1,0,0,0,0,0,1,0,0,0,0,Sant Andreu
126,Gòtic,65,2,1,249000.0,Housfy Real Estate,E,175.0,E,31.0,09/04/2022,1,1,1900,0,0,0,0,0,0,0,0,0,0,0,Ciutat Vella
127,Sant Gervasi - Galvany,193,4,3,1050000.0,Singular Properties,D,94.0,D,19.0,03/03/2022,1,0,1969,1,0,0,0,0,0,1,0,0,0,0,Sarria Sant Gervasi
129,Prosperitat,110,4,2,435000.0,LA CASA AGENCY - DIAGONAL MAR REAL ESTATE,F,999.0,F,99.0,06/04/2022,1,0,1974,1,0,0,0,0,0,1,0,0,0,0,Nou Barris
131,Camp de l´Arpa,90,3,1,354000.0,La Casa Agency - Punt Sant Pau,E,168.0,E,32.0,14/02/2022,0,0,1979,1,0,0,0,0,0,1,0,0,0,0,Sant Marti
134,Poble Sec,116,4,2,300000.0,COLDWELL BANKER PREMIUM SANT CUGAT,G,999.0,G,999.0,21/01/2022,1,0,1998,0,0,0,0,0,0,1,0,0,0,0,Sants Montjuic
135,Esquerra Alta de l´Eixample,102,3,2,569000.0,DON CASA,E,134.0,E,35.0,07/03/2022,1,0,1958,1,0,0,0,0,0,1,0,0,0,0,Eixample
136,Sant Gervasi - Galvany,109,4,2,610000.0,TORIL MOLLER,E,47.0,F,224.0,07/04/2022,1,0,1976,1,0,0,0,0,1,1,0,0,0,0,Sarria Sant Gervasi
137,Baix Guinardó,91,4,2,380000.0,Punt Immobiliari,G,999.0,G,999.0,08/04/2022,0,0,1971,0,0,0,0,0,0,1,0,0,0,0,Horta Guinardo
138,Sant Andreu,78,4,2,249990.0,SI REAL ESTATE,G,999.0,G,999.0,28/03/2022,1,0,1974,0,0,0,0,0,0,1,0,0,0,0,Sant Andreu
142,Sant Gervasi - Galvany,130,4,2,698000.0,Singular Properties,F,56.0,G,267.0,08/02/2022,1,0,1962,1,0,0,0,0,0,1,0,0,0,0,Sarria Sant Gervasi
143,Putget - Farró,258,5,3,1195000.0,RUSTIC CORNER,E,171.0,E,36.0,23/02/2022,0,0,1945,0,0,0,0,0,0,1,0,0,0,0,Sarria Sant Gervasi
146,El Clot,78,2,2,399000.0,COLIBREE,B,25.0,B,25.0,23/03/2022,1,0,2022,0,0,0,0,0,1,1,0,0,0,0,Sant Marti
