"X","Barri","Area","Habitacions","Lavabos","Preu","Immobiliaria","ConsumoEtiqueta","ConsumokW","EmisionesEtiqueta","Emisioneskg","Data.anunci","Aire_acondicionat","Moblat","Any_construccio","Calefaccio","Transport_public_proper","Llar_de_foc","Obra_nova","Piscina_propia","Plaza_parking","Ascensor","Equipamient_esportiu","Jardi_comunitari","Piscina_comunitaria","Vigilancia","Districte","Preu_m2"
1,"Esquerra Baixa de l´Eixample",101,3,2,410000,"FINQUES GIRAMON","G",999,"G",999,2022-04-07,"Yes","No",1936,"No","No","No","No","No","No","Yes","No","No","No","No","Eixample",4059.40594059406
4,"Putget - Farró",114,3,2,550000,"Prontopiso","E",999,"E",999,2022-03-21,"Yes","No",1979,"Yes","No","No","No","No","No","Yes","No","No","No","No","Sarria Sant Gervasi",4824.56140350877
6,"Esquerra Alta de l´Eixample",122,3,2,650000,"Singular Properties","E",145,"E",30,2022-03-21,"No","No",1947,"Yes","No","No","No","No","No","Yes","No","No","No","No","Eixample",5327.86885245902
8,"Hostafrancs",63,2,1,289000,"Housfy Real Estate","E",169,"E",35,2022-04-09,"Yes","Yes",2002,"Yes","Yes","No","No","No","No","Yes","No","No","No","No","Sants Montjuic",4587.30158730159
9,"Esquerra Alta de l´Eixample",94,3,2,370000,"Housfy Real Estate","G",263,"F",55,2022-04-09,"No","No",1966,"Yes","No","No","No","No","No","Yes","No","No","No","No","Eixample",3936.17021276596
10,"Sant Gervasi - Galvany",124,4,2,570000,"Singular Properties","G",999,"G",999,2022-03-17,"Yes","No",1969,"Yes","No","No","No","No","No","Yes","No","No","No","No","Sarria Sant Gervasi",4596.77419354839
11,"Esquerra Baixa de l´Eixample",85,3,2,389000,"GARLASA TRADE","G",999,"G",999,2022-04-08,"Yes","No",1972,"Yes","No","No","No","No","No","Yes","No","No","No","No","Eixample",4576.47058823529
12,"Sarrià",65,3,1,455000,"Singular Properties","G",248,"E",45,2022-03-31,"Yes","No",1996,"Yes","No","No","No","No","No","Yes","No","No","No","No","Sarria Sant Gervasi",7000
13,"Sant Gervasi - Galvany",105,3,2,430000,"Prontopiso","E",999,"E",999,2022-03-17,"Yes","No",1968,"Yes","No","No","No","No","No","Yes","No","No","No","No","Sarria Sant Gervasi",4095.2380952381
16,"Esquerra Baixa de l´Eixample",85,2,1,420000,"APROPERTIES REAL ESTATE BARCELONA Nº Aicat 6388","E",100,"E",10,2022-04-01,"Yes","Yes",1920,"Yes","No","No","No","No","No","Yes","No","No","No","No","Eixample",4941.17647058824
18,"Fort Pienc",71,2,1,279000,"FINCAS GP","E",1,"E",1,2022-04-08,"No","No",1975,"No","No","No","No","No","No","Yes","No","No","No","No","Eixample",3929.57746478873
19,"Fort Pienc",81,4,2,420000,"APROPERTIES REAL ESTATE BARCELONA Nº Aicat 6388","E",176,"E",34,2022-04-01,"No","No",1957,"No","No","No","No","No","No","Yes","No","No","No","No","Eixample",5185.18518518519
23,"Esquerra Alta de l´Eixample",153,4,3,795000,"APROPERTIES REAL ESTATE BARCELONA Nº Aicat 6388","G",999,"G",999,2022-03-28,"Yes","Yes",1994,"Yes","No","No","No","No","Yes","Yes","No","No","No","No","Eixample",5196.07843137255
